State,Year,Month,Crop,Price_per_Quintal,Market
Punjab,2015,4,Cotton,5909.74,Regional
Punjab,2015,4,Sugarcane,531.66,Regional
Punjab,2015,4,Maize,2077.76,Export
Punjab,2015,4,Soybean,3815.48,Export
Punjab,2015,4,Wheat,2696.78,Regional
Punjab,2015,4,Barley,1862.97,Regional
Punjab,2015,4,Mustard,5483.62,Export
Punjab,2015,4,Gram,6483.7,Regional
Punjab,2015,4,Peas,4741.66,Regional
Punjab,2015,4,Fodder,1122.95,Local
Punjab,2015,4,Vegetables,1170.43,Local
Punjab,2015,4,Watermelon,647.97,Export
Punjab,2015,4,Cucumber,1101.75,Export
Punjab,2015,5,Rice,2040.89,Regional
Punjab,2015,5,Cotton,6875.7,Export
Punjab,2015,5,Sugarcane,540.04,Export
Punjab,2015,5,Maize,2008.95,Export
Punjab,2015,5,Soybean,3505.34,Regional
Punjab,2015,5,Wheat,2322.13,Export
Punjab,2015,5,Barley,1941.43,Local
Punjab,2015,5,Mustard,5205.45,Regional
Punjab,2015,5,Gram,7241.58,Export
Punjab,2015,5,Peas,4190.35,Regional
Punjab,2015,5,Fodder,741.4,Export
Punjab,2015,5,Vegetables,1347.63,Export
Punjab,2015,5,Watermelon,869.07,Export
Punjab,2015,5,Cucumber,1271.67,Regional
Punjab,2015,6,Rice,2157.1,Regional
Punjab,2015,6,Cotton,6895.3,Regional
Punjab,2015,6,Sugarcane,566.21,Regional
Punjab,2015,6,Maize,1498.42,Regional
Punjab,2015,6,Soybean,4760.73,Regional
Punjab,2015,6,Wheat,2987.29,Export
Punjab,2015,6,Barley,1290.48,Regional
Punjab,2015,6,Mustard,3943.77,Export
Punjab,2015,6,Gram,6770.18,Export
Punjab,2015,6,Peas,4229.79,Regional
Punjab,2015,6,Fodder,715.29,Export
Punjab,2015,6,Vegetables,1090.75,Regional
Punjab,2015,6,Watermelon,869.11,Regional
Punjab,2015,6,Cucumber,1003.03,Export
Punjab,2015,7,Rice,2183.59,Export
Punjab,2015,7,Cotton,5290.21,Regional
Punjab,2015,7,Sugarcane,506.22,Local
Punjab,2015,7,Maize,2342.2,Local
Punjab,2015,7,Soybean,6221.17,Local
Punjab,2015,7,Wheat,2664.4,Local
Punjab,2015,7,Barley,1818.38,Local
Punjab,2015,7,Mustard,5215.98,Local
Punjab,2015,7,Gram,5579.95,Export
Punjab,2015,7,Peas,3770.85,Local
Punjab,2015,7,Fodder,1167.33,Regional
Punjab,2015,7,Vegetables,1814.86,Export
Punjab,2015,7,Watermelon,952.58,Regional
Punjab,2015,7,Cucumber,832.36,Regional
Punjab,2015,8,Rice,2459.63,Export
Punjab,2015,8,Cotton,4931.65,Export
Punjab,2015,8,Sugarcane,454.16,Local
Punjab,2015,8,Maize,2144.27,Regional
Punjab,2015,8,Soybean,3516.41,Local
Punjab,2015,8,Wheat,2826.65,Regional
Punjab,2015,8,Barley,1978.86,Local
Punjab,2015,8,Mustard,5300.95,Regional
Punjab,2015,8,Gram,5666.11,Regional
Punjab,2015,8,Peas,3593.82,Regional
Punjab,2015,8,Fodder,837.42,Local
Punjab,2015,8,Vegetables,1468.08,Regional
Punjab,2015,8,Watermelon,625.04,Export
Punjab,2015,8,Cucumber,1030.57,Export
Punjab,2015,9,Rice,1484.65,Regional
Punjab,2015,9,Cotton,6079.96,Export
Punjab,2015,9,Sugarcane,349.11,Export
Punjab,2015,9,Maize,1702.8,Regional
Punjab,2015,9,Soybean,4139.57,Local
Punjab,2015,9,Wheat,1964.44,Export
Punjab,2015,9,Barley,1655.94,Local
Punjab,2015,9,Mustard,4400.5,Regional
Punjab,2015,9,Gram,4483.63,Regional
Punjab,2015,9,Peas,4083.07,Regional
Punjab,2015,9,Fodder,872.88,Local
Punjab,2015,9,Vegetables,1039.15,Export
Punjab,2015,9,Watermelon,832.25,Export
Punjab,2015,9,Cucumber,952.07,Local
Punjab,2015,10,Rice,2037.9,Regional
Punjab,2015,10,Cotton,3942.3,Local
Punjab,2015,10,Sugarcane,419.9,Export
Punjab,2015,10,Maize,2104.21,Regional
Punjab,2015,10,Soybean,4073.09,Local
Punjab,2015,10,Wheat,2057.2,Local
Punjab,2015,10,Barley,2077.62,Export
Punjab,2015,10,Mustard,6987.04,Export
Punjab,2015,10,Gram,7866.42,Export
Punjab,2015,10,Peas,3641.39,Local
Punjab,2015,10,Fodder,881.17,Regional
Punjab,2015,10,Vegetables,1660.17,Local
Punjab,2015,10,Watermelon,744.87,Export
Punjab,2015,10,Cucumber,1496.07,Local
Punjab,2015,11,Rice,1992.12,Local
Punjab,2015,11,Cotton,5886.02,Regional
Punjab,2015,11,Sugarcane,448.48,Regional
Punjab,2015,11,Maize,1295.73,Export
Punjab,2015,11,Soybean,3568.04,Local
Punjab,2015,11,Wheat,2124.28,Regional
Punjab,2015,11,Barley,1965.64,Regional
Punjab,2015,11,Mustard,3435.75,Regional
Punjab,2015,11,Gram,4599.73,Regional
Punjab,2015,11,Peas,3534.55,Export
Punjab,2015,11,Fodder,1041.11,Export
Punjab,2015,11,Vegetables,1470.42,Local
Punjab,2015,11,Watermelon,664.04,Regional
Punjab,2015,11,Cucumber,1315.5,Local
Punjab,2015,12,Rice,2598.43,Export
Punjab,2015,12,Cotton,5820.87,Export
Punjab,2015,12,Sugarcane,282.24,Export
Punjab,2015,12,Maize,2281.12,Export
Punjab,2015,12,Soybean,4056.78,Export
Punjab,2015,12,Wheat,2123.56,Local
Punjab,2015,12,Barley,1513.36,Export
Punjab,2015,12,Mustard,6309.3,Export
Punjab,2015,12,Gram,5350.49,Regional
Punjab,2015,12,Peas,3637.64,Regional
Punjab,2015,12,Fodder,684.73,Local
Punjab,2015,12,Vegetables,1068.37,Local
Punjab,2015,12,Watermelon,440.86,Local
Punjab,2015,12,Cucumber,1103.27,Local
Punjab,2016,1,Rice,1929.81,Regional
Punjab,2016,1,Cotton,5464.09,Regional
Punjab,2016,1,Sugarcane,343.68,Regional
Punjab,2016,1,Maize,1725.56,Local
Punjab,2016,1,Soybean,3772.97,Regional
Punjab,2016,1,Wheat,1738.7,Local
Punjab,2016,1,Barley,1794.86,Export
Punjab,2016,1,Mustard,4146.53,Export
Punjab,2016,1,Gram,4726.46,Regional
Punjab,2016,1,Peas,3299.82,Local
Punjab,2016,1,Fodder,1074.5,Export
Punjab,2016,1,Vegetables,1101.83,Local
Punjab,2016,1,Watermelon,925.5,Regional
Punjab,2016,1,Cucumber,1057.87,Regional
Punjab,2016,2,Rice,2167.3,Regional
Punjab,2016,2,Cotton,6563.85,Local
Punjab,2016,2,Sugarcane,475.31,Regional
Punjab,2016,2,Maize,1431.03,Export
Punjab,2016,2,Soybean,4509.52,Local
Punjab,2016,2,Wheat,1882.72,Local
Punjab,2016,2,Barley,1499.6,Regional
Punjab,2016,2,Mustard,4900.94,Local
Punjab,2016,2,Gram,7428.13,Export
Punjab,2016,2,Peas,4935.37,Local
Punjab,2016,2,Fodder,1208.71,Regional
Punjab,2016,2,Vegetables,874.1,Local
Punjab,2016,2,Watermelon,563.12,Regional
Punjab,2016,2,Cucumber,1409.99,Regional
Punjab,2016,3,Rice,1758.76,Regional
Punjab,2016,3,Cotton,8144.3,Regional
Punjab,2016,3,Sugarcane,353.26,Local
Punjab,2016,3,Maize,2390.42,Local
Punjab,2016,3,Soybean,3400.15,Local
Punjab,2016,3,Wheat,2413.65,Regional
Punjab,2016,3,Barley,1391.99,Regional
Punjab,2016,3,Mustard,6167.5,Export
Punjab,2016,3,Gram,4926.52,Export
Punjab,2016,3,Peas,5159.87,Export
Punjab,2016,3,Fodder,959.65,Local
Punjab,2016,3,Vegetables,1411.71,Local
Punjab,2016,3,Watermelon,852.66,Regional
Punjab,2016,3,Cucumber,1526.4,Regional
Punjab,2016,4,Rice,2722.99,Regional
Punjab,2016,4,Cotton,4307.25,Export
Punjab,2016,4,Sugarcane,456.82,Local
Punjab,2016,4,Maize,1592.04,Regional
Punjab,2016,4,Soybean,3401.27,Regional
Punjab,2016,4,Wheat,2421.34,Regional
Punjab,2016,4,Barley,1990.08,Regional
Punjab,2016,4,Mustard,5973.71,Regional
Punjab,2016,4,Gram,4703.06,Local
Punjab,2016,4,Peas,3770.72,Regional
Punjab,2016,4,Fodder,647.31,Export
Punjab,2016,4,Vegetables,1547.87,Regional
Punjab,2016,4,Watermelon,594.66,Local
Punjab,2016,4,Cucumber,1464.49,Export
Punjab,2016,5,Rice,2286.46,Regional
Punjab,2016,5,Cotton,4081.41,Regional
Punjab,2016,5,Sugarcane,441.26,Regional
Punjab,2016,5,Maize,2086.87,Export
Punjab,2016,5,Soybean,4332.15,Regional
Punjab,2016,5,Wheat,2577.98,Regional
Punjab,2016,5,Barley,2124.6,Regional
Punjab,2016,5,Mustard,4848.09,Export
Punjab,2016,5,Gram,4030.4,Local
Punjab,2016,5,Peas,3075.64,Local
Punjab,2016,5,Fodder,895.89,Regional
Punjab,2016,5,Vegetables,1939.29,Regional
Punjab,2016,5,Watermelon,771.92,Regional
Punjab,2016,5,Cucumber,778.64,Local
Punjab,2016,6,Rice,2013.91,Export
Punjab,2016,6,Cotton,4274.21,Local
Punjab,2016,6,Sugarcane,378.98,Export
Punjab,2016,6,Maize,1485.6,Local
Punjab,2016,6,Soybean,3710.47,Regional
Punjab,2016,6,Wheat,1784.9,Regional
Punjab,2016,6,Barley,1579.14,Export
Punjab,2016,6,Mustard,5959.18,Regional
Punjab,2016,6,Gram,4679.53,Local
Punjab,2016,6,Peas,2959.88,Regional
Punjab,2016,6,Fodder,1012.73,Local
Punjab,2016,6,Vegetables,1579.09,Local
Punjab,2016,6,Watermelon,844.91,Regional
Punjab,2016,6,Cucumber,1170.93,Export
Punjab,2016,7,Rice,1821.47,Regional
Punjab,2016,7,Cotton,7470.31,Local
Punjab,2016,7,Sugarcane,460.72,Regional
Punjab,2016,7,Maize,1599.37,Export
Punjab,2016,7,Soybean,4196.13,Local
Punjab,2016,7,Wheat,2107.67,Export
Punjab,2016,7,Barley,1434.3,Local
Punjab,2016,7,Mustard,4610.42,Export
Punjab,2016,7,Gram,6187.47,Local
Punjab,2016,7,Peas,4725.43,Local
Punjab,2016,7,Fodder,656.79,Local
Punjab,2016,7,Vegetables,1626.31,Export
Punjab,2016,7,Watermelon,574.97,Regional
Punjab,2016,7,Cucumber,1325.56,Export
Punjab,2016,8,Rice,1584.41,Export
Punjab,2016,8,Cotton,4954.24,Local
Punjab,2016,8,Sugarcane,379.02,Regional
Punjab,2016,8,Maize,2274.59,Export
Punjab,2016,8,Soybean,5129.78,Export
Punjab,2016,8,Wheat,2974.97,Export
Punjab,2016,8,Barley,1168.58,Local
Punjab,2016,8,Mustard,4313.24,Local
Punjab,2016,8,Gram,3874.07,Local
Punjab,2016,8,Peas,4616.05,Export
Punjab,2016,8,Fodder,663.19,Export
Punjab,2016,8,Vegetables,909.64,Regional
Punjab,2016,8,Watermelon,755.66,Local
Punjab,2016,8,Cucumber,1265.29,Local
Punjab,2016,9,Rice,1872.29,Regional
Punjab,2016,9,Cotton,7657.0,Export
Punjab,2016,9,Sugarcane,283.13,Regional
Punjab,2016,9,Maize,2413.04,Regional
Punjab,2016,9,Soybean,4394.73,Export
Punjab,2016,9,Wheat,2263.36,Regional
Punjab,2016,9,Barley,1719.53,Export
Punjab,2016,9,Mustard,4448.93,Local
Punjab,2016,9,Gram,4255.79,Regional
Punjab,2016,9,Peas,3391.2,Local
Punjab,2016,9,Fodder,1116.59,Local
Punjab,2016,9,Vegetables,1174.3,Local
Punjab,2016,9,Watermelon,922.44,Local
Punjab,2016,9,Cucumber,1012.16,Export
Punjab,2016,10,Rice,2182.77,Regional
Punjab,2016,10,Cotton,7701.82,Export
Punjab,2016,10,Sugarcane,483.82,Local
Punjab,2016,10,Maize,2189.95,Local
Punjab,2016,10,Soybean,4428.35,Local
Punjab,2016,10,Wheat,2843.71,Export
Punjab,2016,10,Barley,1224.31,Export
Punjab,2016,10,Mustard,4041.32,Local
Punjab,2016,10,Gram,7089.25,Export
Punjab,2016,10,Peas,2728.55,Local
Punjab,2016,10,Fodder,709.88,Export
Punjab,2016,10,Vegetables,1777.76,Export
Punjab,2016,10,Watermelon,699.95,Export
Punjab,2016,10,Cucumber,1443.71,Regional
Punjab,2016,11,Rice,2434.91,Export
Punjab,2016,11,Cotton,7569.14,Regional
Punjab,2016,11,Sugarcane,408.14,Regional
Punjab,2016,11,Maize,1807.43,Local
Punjab,2016,11,Soybean,5315.51,Export
Punjab,2016,11,Wheat,2093.48,Regional
Punjab,2016,11,Barley,1522.19,Export
Punjab,2016,11,Mustard,4258.76,Regional
Punjab,2016,11,Gram,5118.48,Local
Punjab,2016,11,Peas,3038.99,Local
Punjab,2016,11,Fodder,864.7,Local
Punjab,2016,11,Vegetables,1502.3,Export
Punjab,2016,11,Watermelon,801.66,Regional
Punjab,2016,11,Cucumber,1041.57,Export
Punjab,2016,12,Rice,1789.86,Regional
Punjab,2016,12,Cotton,4684.79,Regional
Punjab,2016,12,Sugarcane,297.71,Regional
Punjab,2016,12,Maize,2100.43,Regional
Punjab,2016,12,Soybean,3589.01,Regional
Punjab,2016,12,Wheat,2746.36,Regional
Punjab,2016,12,Barley,1458.89,Local
Punjab,2016,12,Mustard,3650.78,Regional
Punjab,2016,12,Gram,4812.35,Regional
Punjab,2016,12,Peas,3774.3,Regional
Punjab,2016,12,Fodder,651.91,Local
Punjab,2016,12,Vegetables,1812.67,Export
Punjab,2016,12,Watermelon,554.3,Regional
Punjab,2016,12,Cucumber,773.68,Export
Punjab,2017,1,Rice,1519.74,Local
Punjab,2017,1,Cotton,4710.75,Local
Punjab,2017,1,Sugarcane,417.8,Local
Punjab,2017,1,Maize,2485.74,Regional
Punjab,2017,1,Soybean,3285.01,Export
Punjab,2017,1,Wheat,2469.57,Local
Punjab,2017,1,Barley,1804.43,Local
Punjab,2017,1,Mustard,5416.18,Export
Punjab,2017,1,Gram,6894.74,Regional
Punjab,2017,1,Peas,3112.85,Export
Punjab,2017,1,Fodder,789.25,Local
Punjab,2017,1,Vegetables,1378.27,Local
Punjab,2017,1,Watermelon,705.79,Local
Punjab,2017,1,Cucumber,978.97,Local
Punjab,2017,2,Rice,1808.04,Local
Punjab,2017,2,Cotton,4610.84,Regional
Punjab,2017,2,Sugarcane,385.17,Regional
Punjab,2017,2,Maize,2052.51,Export
Punjab,2017,2,Soybean,3648.87,Export
Punjab,2017,2,Wheat,1767.76,Regional
Punjab,2017,2,Barley,1425.99,Export
Punjab,2017,2,Mustard,4725.26,Regional
Punjab,2017,2,Gram,7661.92,Export
Punjab,2017,2,Peas,5271.48,Regional
Punjab,2017,2,Fodder,840.43,Local
Punjab,2017,2,Vegetables,1379.73,Export
Punjab,2017,2,Watermelon,554.99,Regional
Punjab,2017,2,Cucumber,997.83,Export
Punjab,2017,3,Rice,2278.08,Regional
Punjab,2017,3,Cotton,6534.63,Regional
Punjab,2017,3,Sugarcane,431.57,Export
Punjab,2017,3,Maize,1885.94,Local
Punjab,2017,3,Soybean,4208.01,Local
Punjab,2017,3,Wheat,1734.45,Export
Punjab,2017,3,Barley,1886.18,Local
Punjab,2017,3,Mustard,5107.07,Local
Punjab,2017,3,Gram,5171.36,Export
Punjab,2017,3,Peas,4011.49,Regional
Punjab,2017,3,Fodder,728.55,Local
Punjab,2017,3,Vegetables,1614.8,Regional
Punjab,2017,3,Watermelon,837.71,Regional
Punjab,2017,3,Cucumber,1235.45,Export
Punjab,2017,4,Rice,1465.17,Local
Punjab,2017,4,Cotton,5849.11,Export
Punjab,2017,4,Sugarcane,482.89,Local
Punjab,2017,4,Maize,1523.67,Local
Punjab,2017,4,Soybean,5493.7,Export
Punjab,2017,4,Wheat,1691.34,Export
Punjab,2017,4,Barley,1962.45,Local
Punjab,2017,4,Mustard,5098.8,Regional
Punjab,2017,4,Gram,4249.34,Export
Punjab,2017,4,Peas,3558.82,Regional
Punjab,2017,4,Fodder,734.73,Regional
Punjab,2017,4,Vegetables,1142.59,Regional
Punjab,2017,4,Watermelon,477.41,Export
Punjab,2017,4,Cucumber,1390.96,Export
Punjab,2017,5,Rice,2392.38,Local
Punjab,2017,5,Cotton,5735.29,Export
Punjab,2017,5,Sugarcane,346.48,Local
Punjab,2017,5,Maize,2258.72,Export
Punjab,2017,5,Soybean,3546.76,Regional
Punjab,2017,5,Wheat,2620.8,Export
Punjab,2017,5,Barley,1473.24,Regional
Punjab,2017,5,Mustard,4810.14,Local
Punjab,2017,5,Gram,5214.5,Regional
Punjab,2017,5,Peas,3452.43,Local
Punjab,2017,5,Fodder,954.67,Export
Punjab,2017,5,Vegetables,1207.0,Export
Punjab,2017,5,Watermelon,640.91,Export
Punjab,2017,5,Cucumber,1523.53,Regional
Punjab,2017,6,Rice,1357.76,Export
Punjab,2017,6,Cotton,4196.01,Export
Punjab,2017,6,Sugarcane,469.11,Regional
Punjab,2017,6,Maize,2081.81,Export
Punjab,2017,6,Soybean,5633.55,Local
Punjab,2017,6,Wheat,2958.49,Regional
Punjab,2017,6,Barley,2128.49,Local
Punjab,2017,6,Mustard,4683.06,Regional
Punjab,2017,6,Gram,6338.66,Regional
Punjab,2017,6,Peas,4708.76,Regional
Punjab,2017,6,Fodder,621.92,Local
Punjab,2017,6,Vegetables,1516.38,Local
Punjab,2017,6,Watermelon,648.96,Export
Punjab,2017,6,Cucumber,961.77,Export
Punjab,2017,7,Rice,2248.01,Export
Punjab,2017,7,Cotton,6084.19,Local
Punjab,2017,7,Sugarcane,437.54,Local
Punjab,2017,7,Maize,2011.96,Export
Punjab,2017,7,Soybean,4096.16,Regional
Punjab,2017,7,Wheat,2678.93,Regional
Punjab,2017,7,Barley,1329.25,Export
Punjab,2017,7,Mustard,4252.91,Local
Punjab,2017,7,Gram,5695.77,Regional
Punjab,2017,7,Peas,3925.11,Local
Punjab,2017,7,Fodder,973.31,Export
Punjab,2017,7,Vegetables,1163.93,Local
Punjab,2017,7,Watermelon,861.4,Regional
Punjab,2017,7,Cucumber,1362.96,Export
Punjab,2017,8,Rice,2486.92,Regional
Punjab,2017,8,Cotton,5670.11,Regional
Punjab,2017,8,Sugarcane,459.61,Local
Punjab,2017,8,Maize,1799.27,Export
Punjab,2017,8,Soybean,5226.79,Regional
Punjab,2017,8,Wheat,1771.43,Local
Punjab,2017,8,Barley,2094.69,Regional
Punjab,2017,8,Mustard,5266.5,Local
Punjab,2017,8,Gram,6037.92,Regional
Punjab,2017,8,Peas,3722.44,Local
Punjab,2017,8,Fodder,754.79,Regional
Punjab,2017,8,Vegetables,1321.26,Regional
Punjab,2017,8,Watermelon,565.78,Regional
Punjab,2017,8,Cucumber,1186.66,Regional
Punjab,2017,9,Rice,2046.6,Regional
Punjab,2017,9,Cotton,6040.96,Export
Punjab,2017,9,Sugarcane,488.25,Local
Punjab,2017,9,Maize,1572.82,Regional
Punjab,2017,9,Soybean,4058.04,Export
Punjab,2017,9,Wheat,1537.99,Regional
Punjab,2017,9,Barley,1364.99,Regional
Punjab,2017,9,Mustard,6089.12,Export
Punjab,2017,9,Gram,5319.7,Local
Punjab,2017,9,Peas,4837.24,Local
Punjab,2017,9,Fodder,1144.44,Export
Punjab,2017,9,Vegetables,1259.35,Regional
Punjab,2017,9,Watermelon,695.68,Export
Punjab,2017,9,Cucumber,1129.63,Export
Punjab,2017,10,Rice,1940.35,Local
Punjab,2017,10,Cotton,4383.75,Regional
Punjab,2017,10,Sugarcane,419.95,Local
Punjab,2017,10,Maize,1805.63,Regional
Punjab,2017,10,Soybean,4181.09,Regional
Punjab,2017,10,Wheat,2651.4,Regional
Punjab,2017,10,Barley,1290.55,Regional
Punjab,2017,10,Mustard,3436.43,Local
Punjab,2017,10,Gram,5612.46,Regional
Punjab,2017,10,Peas,3303.94,Regional
Punjab,2017,10,Fodder,861.37,Regional
Punjab,2017,10,Vegetables,1096.97,Local
Punjab,2017,10,Watermelon,791.44,Local
Punjab,2017,10,Cucumber,771.79,Regional
Punjab,2017,11,Rice,2006.11,Regional
Punjab,2017,11,Cotton,6060.57,Export
Punjab,2017,11,Sugarcane,304.44,Regional
Punjab,2017,11,Maize,2472.11,Regional
Punjab,2017,11,Soybean,3739.38,Regional
Punjab,2017,11,Wheat,2721.67,Export
Punjab,2017,11,Barley,2079.25,Local
Punjab,2017,11,Mustard,5625.1,Export
Punjab,2017,11,Gram,4635.69,Export
Punjab,2017,11,Peas,4314.24,Regional
Punjab,2017,11,Fodder,1112.4,Local
Punjab,2017,11,Vegetables,1566.69,Local
Punjab,2017,11,Watermelon,621.82,Regional
Punjab,2017,11,Cucumber,1512.69,Export
Punjab,2017,12,Rice,2190.78,Regional
Punjab,2017,12,Cotton,4603.66,Export
Punjab,2017,12,Sugarcane,427.71,Local
Punjab,2017,12,Maize,1912.73,Export
Punjab,2017,12,Soybean,4610.61,Local
Punjab,2017,12,Wheat,2284.55,Regional
Punjab,2017,12,Barley,1362.41,Regional
Punjab,2017,12,Mustard,6876.11,Regional
Punjab,2017,12,Gram,5226.35,Export
Punjab,2017,12,Peas,3468.09,Regional
Punjab,2017,12,Fodder,728.01,Export
Punjab,2017,12,Vegetables,1486.18,Regional
Punjab,2017,12,Watermelon,818.16,Regional
Punjab,2017,12,Cucumber,1177.9,Local
Punjab,2018,1,Rice,2275.31,Export
Punjab,2018,1,Cotton,5709.93,Regional
Punjab,2018,1,Sugarcane,368.92,Export
Punjab,2018,1,Maize,1884.99,Regional
Punjab,2018,1,Soybean,5156.39,Regional
Punjab,2018,1,Wheat,2750.09,Export
Punjab,2018,1,Barley,1338.59,Local
Punjab,2018,1,Mustard,5887.88,Local
Punjab,2018,1,Gram,7863.02,Export
Punjab,2018,1,Peas,4778.24,Local
Punjab,2018,1,Fodder,769.21,Regional
Punjab,2018,1,Vegetables,1595.98,Local
Punjab,2018,1,Watermelon,534.97,Export
Punjab,2018,1,Cucumber,1297.17,Regional
Punjab,2018,2,Rice,1903.23,Export
Punjab,2018,2,Cotton,6367.29,Export
Punjab,2018,2,Sugarcane,522.59,Regional
Punjab,2018,2,Maize,1670.81,Regional
Punjab,2018,2,Soybean,6111.25,Export
Punjab,2018,2,Wheat,2219.19,Export
Punjab,2018,2,Barley,1497.02,Regional
Punjab,2018,2,Mustard,5385.76,Export
Punjab,2018,2,Gram,5775.13,Regional
Punjab,2018,2,Peas,4504.82,Export
Punjab,2018,2,Fodder,988.98,Regional
Punjab,2018,2,Vegetables,1177.23,Regional
Punjab,2018,2,Watermelon,751.02,Export
Punjab,2018,2,Cucumber,1198.6,Export
Punjab,2018,3,Rice,2197.45,Regional
Punjab,2018,3,Cotton,7838.99,Local
Punjab,2018,3,Sugarcane,391.25,Regional
Punjab,2018,3,Maize,1775.93,Local
Punjab,2018,3,Soybean,4299.75,Export
Punjab,2018,3,Wheat,2073.42,Local
Punjab,2018,3,Barley,2402.06,Local
Punjab,2018,3,Mustard,4392.63,Local
Punjab,2018,3,Gram,4870.08,Export
Punjab,2018,3,Peas,3391.38,Export
Punjab,2018,3,Fodder,965.5,Export
Punjab,2018,3,Vegetables,1951.57,Regional
Punjab,2018,3,Watermelon,904.69,Local
Punjab,2018,3,Cucumber,1142.93,Regional
Punjab,2018,4,Rice,1741.52,Export
Punjab,2018,4,Cotton,4802.39,Regional
Punjab,2018,4,Sugarcane,443.1,Export
Punjab,2018,4,Maize,1507.7,Export
Punjab,2018,4,Soybean,3694.96,Regional
Punjab,2018,4,Wheat,2423.8,Regional
Punjab,2018,4,Barley,2140.35,Export
Punjab,2018,4,Mustard,5456.75,Export
Punjab,2018,4,Gram,5906.52,Local
Punjab,2018,4,Peas,2512.34,Local
Punjab,2018,4,Fodder,722.19,Local
Punjab,2018,4,Vegetables,1128.92,Local
Punjab,2018,4,Watermelon,582.33,Regional
Punjab,2018,4,Cucumber,1456.22,Local
Punjab,2018,5,Rice,2474.34,Regional
Punjab,2018,5,Cotton,3965.1,Local
Punjab,2018,5,Sugarcane,405.52,Export
Punjab,2018,5,Maize,2153.25,Local
Punjab,2018,5,Soybean,3781.06,Regional
Punjab,2018,5,Wheat,2336.97,Export
Punjab,2018,5,Barley,2021.96,Local
Punjab,2018,5,Mustard,3689.13,Local
Punjab,2018,5,Gram,4352.68,Export
Punjab,2018,5,Peas,3485.03,Regional
Punjab,2018,5,Fodder,694.86,Export
Punjab,2018,5,Vegetables,1527.15,Export
Punjab,2018,5,Watermelon,853.2,Export
Punjab,2018,5,Cucumber,1107.1,Export
Punjab,2018,6,Rice,1772.29,Regional
Punjab,2018,6,Cotton,6487.18,Export
Punjab,2018,6,Sugarcane,513.5,Regional
Punjab,2018,6,Maize,1595.43,Export
Punjab,2018,6,Soybean,5189.13,Local
Punjab,2018,6,Wheat,3099.39,Regional
Punjab,2018,6,Barley,2422.62,Local
Punjab,2018,6,Mustard,4782.27,Local
Punjab,2018,6,Gram,5412.23,Regional
Punjab,2018,6,Peas,4125.14,Regional
Punjab,2018,6,Fodder,997.61,Local
Punjab,2018,6,Vegetables,1287.49,Export
Punjab,2018,6,Watermelon,933.64,Local
Punjab,2018,6,Cucumber,1016.11,Local
Punjab,2018,7,Rice,1584.94,Export
Punjab,2018,7,Cotton,6563.09,Local
Punjab,2018,7,Sugarcane,324.32,Export
Punjab,2018,7,Maize,1642.85,Regional
Punjab,2018,7,Soybean,5474.38,Regional
Punjab,2018,7,Wheat,2749.06,Regional
Punjab,2018,7,Barley,1395.37,Local
Punjab,2018,7,Mustard,6139.05,Local
Punjab,2018,7,Gram,4587.56,Regional
Punjab,2018,7,Peas,4336.16,Regional
Punjab,2018,7,Fodder,1222.34,Export
Punjab,2018,7,Vegetables,1878.82,Regional
Punjab,2018,7,Watermelon,451.02,Local
Punjab,2018,7,Cucumber,1397.82,Local
