State,District,Year,Month,Rainfall_mm,Temperature_C,Humidity
Punjab,Ludhiana,2019,8,278.85,22.3,73.13
Punjab,Ludhiana,2019,9,274.18,21.97,58.88
Punjab,Ludhiana,2019,10,69.21,20.84,68.69
Punjab,Ludhiana,2019,11,14.36,21.46,64.48
Punjab,Ludhiana,2019,12,78.84,14.52,67.63
Punjab,Ludhiana,2020,1,11.17,22.88,78.17
Punjab,Ludhiana,2020,2,12.66,21.22,80.76
Punjab,Ludhiana,2020,3,23.47,34.16,63.24
Punjab,Ludhiana,2020,4,37.62,33.64,77.7
Punjab,Ludhiana,2020,5,26.79,28.91,77.13
Punjab,Ludhiana,2020,6,200.31,38.21,43.78
Punjab,Ludhiana,2020,7,188.68,24.13,48.94
Punjab,Ludhiana,2020,8,201.09,22.59,73.61
Punjab,Ludhiana,2020,9,267.57,20.05,52.32
Punjab,Ludhiana,2020,10,34.55,25.12,65.57
Punjab,Ludhiana,2020,11,58.74,28.49,60.84
Punjab,Ludhiana,2020,12,18.14,13.18,72.83
Punjab,Ludhiana,2021,1,23.0,19.68,83.46
Punjab,Ludhiana,2021,2,30.67,22.25,49.79
Punjab,Ludhiana,2021,3,14.98,21.22,72.59
Punjab,Ludhiana,2021,4,9.87,39.72,68.9
Punjab,Ludhiana,2021,5,36.06,30.68,74.01
Punjab,Ludhiana,2021,6,126.55,28.75,71.77
Punjab,Ludhiana,2021,7,135.6,22.11,54.2
Punjab,Ludhiana,2021,8,145.19,22.82,79.76
Punjab,Ludhiana,2021,9,135.42,24.42,71.39
Punjab,Ludhiana,2021,10,28.52,27.35,66.04
Punjab,Ludhiana,2021,11,34.42,29.63,60.24
Punjab,Ludhiana,2021,12,54.17,22.81,41.65
Punjab,Ludhiana,2022,1,68.43,17.01,64.21
Punjab,Ludhiana,2022,2,8.43,21.13,55.61
Punjab,Ludhiana,2022,3,32.44,31.94,49.34
Punjab,Ludhiana,2022,4,27.99,35.05,77.34
Punjab,Ludhiana,2022,5,31.77,29.27,74.8
Punjab,Ludhiana,2022,6,151.64,34.55,41.42
Punjab,Ludhiana,2022,7,123.06,29.87,48.39
Punjab,Ludhiana,2022,8,127.96,28.8,56.75
Punjab,Ludhiana,2022,9,175.58,28.83,41.52
Punjab,Ludhiana,2022,10,59.09,29.44,79.12
Punjab,Ludhiana,2022,11,10.55,26.32,55.06
Punjab,Ludhiana,2022,12,55.35,13.3,81.09
Punjab,Ludhiana,2023,1,31.44,18.07,48.38
Punjab,Ludhiana,2023,2,0.87,22.52,60.54
Punjab,Ludhiana,2023,3,23.04,26.52,57.97
Punjab,Ludhiana,2023,4,33.36,31.54,56.79
Punjab,Ludhiana,2023,5,13.52,37.5,53.51
Punjab,Ludhiana,2023,6,294.15,40.28,74.34
Punjab,Ludhiana,2023,7,280.17,27.6,58.94
Punjab,Ludhiana,2023,8,254.81,34.31,58.03
Punjab,Ludhiana,2023,9,105.71,27.68,81.51
Punjab,Ludhiana,2023,10,72.06,34.48,82.43
Punjab,Ludhiana,2023,11,23.89,34.59,73.83
Punjab,Ludhiana,2023,12,19.09,16.33,83.2
Punjab,Amritsar,2015,1,77.92,16.02,74.46
Punjab,Amritsar,2015,2,32.06,17.96,47.44
Punjab,Amritsar,2015,3,0.03,22.21,79.73
Punjab,Amritsar,2015,4,12.05,29.13,50.63
Punjab,Amritsar,2015,5,8.13,29.26,51.01
Punjab,Amritsar,2015,6,236.94,39.84,56.84
Punjab,Amritsar,2015,7,195.47,25.17,61.19
Punjab,Amritsar,2015,8,237.36,30.48,81.08
Punjab,Amritsar,2015,9,233.69,32.47,71.78
Punjab,Amritsar,2015,10,63.41,21.44,45.78
Punjab,Amritsar,2015,11,63.41,22.0,74.8
Punjab,Amritsar,2015,12,72.86,22.66,72.87
Punjab,Amritsar,2016,1,39.72,17.12,43.22
Punjab,Amritsar,2016,2,19.53,21.63,66.39
Punjab,Amritsar,2016,3,8.87,29.13,74.55
Punjab,Amritsar,2016,4,14.77,32.76,77.05
Punjab,Amritsar,2016,5,24.42,38.52,81.16
Punjab,Amritsar,2016,6,229.12,29.93,48.46
Punjab,Amritsar,2016,7,142.25,26.53,55.28
Punjab,Amritsar,2016,8,230.81,26.39,52.82
Punjab,Amritsar,2016,9,177.36,32.32,41.57
Punjab,Amritsar,2016,10,77.1,26.33,47.36
Punjab,Amritsar,2016,11,57.76,32.51,60.92
Punjab,Amritsar,2016,12,15.78,20.92,44.56
Punjab,Amritsar,2017,1,70.37,22.45,40.55
Punjab,Amritsar,2017,2,12.76,19.47,57.28
Punjab,Amritsar,2017,3,18.19,27.29,83.2
Punjab,Amritsar,2017,4,16.07,38.8,53.63
Punjab,Amritsar,2017,5,10.35,36.88,67.16
Punjab,Amritsar,2017,6,260.48,34.3,56.78
Punjab,Amritsar,2017,7,194.71,25.03,64.08
Punjab,Amritsar,2017,8,172.97,31.78,84.13
Punjab,Amritsar,2017,9,206.34,25.75,70.36
Punjab,Amritsar,2017,10,20.53,25.06,82.04
Punjab,Amritsar,2017,11,51.31,22.96,76.58
Punjab,Amritsar,2017,12,60.93,17.91,42.18
Punjab,Amritsar,2018,1,29.72,13.58,62.03
Punjab,Amritsar,2018,2,14.68,23.56,70.89
Punjab,Amritsar,2018,3,10.09,25.06,53.33
Punjab,Amritsar,2018,4,32.77,35.6,48.04
Punjab,Amritsar,2018,5,14.28,28.25,54.61
Punjab,Amritsar,2018,6,227.2,36.34,56.08
Punjab,Amritsar,2018,7,107.32,31.08,51.19
Punjab,Amritsar,2018,8,116.81,21.42,72.71
Punjab,Amritsar,2018,9,226.58,26.47,52.36
Punjab,Amritsar,2018,10,78.03,30.33,50.98
Punjab,Amritsar,2018,11,67.79,32.52,72.97
Punjab,Amritsar,2018,12,46.65,17.96,43.44
Punjab,Amritsar,2019,1,36.1,13.91,83.96
Punjab,Amritsar,2019,2,25.51,23.47,57.19
Punjab,Amritsar,2019,3,39.21,21.18,81.73
Punjab,Amritsar,2019,4,29.97,33.92,41.01
Punjab,Amritsar,2019,5,38.01,31.6,69.38
Punjab,Amritsar,2019,6,276.59,39.72,59.5
Punjab,Amritsar,2019,7,123.29,22.87,51.74
Punjab,Amritsar,2019,8,160.64,27.71,78.44
Punjab,Amritsar,2019,9,148.75,31.98,56.84
Punjab,Amritsar,2019,10,43.1,31.41,59.66
Punjab,Amritsar,2019,11,62.28,31.67,52.46
Punjab,Amritsar,2019,12,57.0,19.86,80.94
Punjab,Amritsar,2020,1,57.47,15.54,58.32
Punjab,Amritsar,2020,2,0.75,17.39,45.84
Punjab,Amritsar,2020,3,10.68,28.99,83.92
Punjab,Amritsar,2020,4,12.73,31.1,40.81
Punjab,Amritsar,2020,5,12.98,28.89,52.95
Punjab,Amritsar,2020,6,242.41,39.58,66.46
Punjab,Amritsar,2020,7,226.95,24.93,57.51
Punjab,Amritsar,2020,8,285.97,20.19,55.33
Punjab,Amritsar,2020,9,169.27,26.67,60.79
Punjab,Amritsar,2020,10,61.98,23.16,71.4
Punjab,Amritsar,2020,11,57.11,23.84,41.45
Punjab,Amritsar,2020,12,69.66,24.58,68.41
Punjab,Amritsar,2021,1,49.29,16.49,49.34
Punjab,Amritsar,2021,2,39.39,16.8,53.13
Punjab,Amritsar,2021,3,12.61,30.12,41.33
Punjab,Amritsar,2021,4,24.99,30.33,55.82
Punjab,Amritsar,2021,5,17.26,41.94,41.05
Punjab,Amritsar,2021,6,294.67,35.79,62.08
Punjab,Amritsar,2021,7,146.94,33.82,45.93
Punjab,Amritsar,2021,8,221.42,32.75,44.36
Punjab,Amritsar,2021,9,143.66,34.88,65.68
Punjab,Amritsar,2021,10,22.5,22.39,74.99
Punjab,Amritsar,2021,11,61.41,26.02,58.38
Punjab,Amritsar,2021,12,62.59,17.44,66.97
Punjab,Amritsar,2022,1,32.36,16.72,44.75
Punjab,Amritsar,2022,2,35.39,24.48,74.28
Punjab,Amritsar,2022,3,12.71,28.03,57.65
Punjab,Amritsar,2022,4,34.36,34.93,60.88
Punjab,Amritsar,2022,5,33.05,34.29,81.58
Punjab,Amritsar,2022,6,135.53,32.04,63.97
Punjab,Amritsar,2022,7,166.81,26.96,47.75
Punjab,Amritsar,2022,8,281.46,25.75,69.39
Punjab,Amritsar,2022,9,294.85,26.15,68.64
Punjab,Amritsar,2022,10,53.32,22.08,67.9
Punjab,Amritsar,2022,11,79.92,28.99,72.95
Punjab,Amritsar,2022,12,76.18,16.23,51.25
Punjab,Amritsar,2023,1,49.85,18.13,44.09
Punjab,Amritsar,2023,2,14.81,21.66,79.76
Punjab,Amritsar,2023,3,26.16,28.28,78.85
Punjab,Amritsar,2023,4,34.01,30.26,56.61
Punjab,Amritsar,2023,5,34.99,30.45,82.17
Punjab,Amritsar,2023,6,284.28,32.52,53.18
Punjab,Amritsar,2023,7,278.89,23.11,60.75
Punjab,Amritsar,2023,8,149.01,29.05,84.54
Punjab,Amritsar,2023,9,259.35,34.59,62.51
Punjab,Amritsar,2023,10,17.78,29.06,54.91
Punjab,Amritsar,2023,11,74.41,22.39,60.8
Punjab,Amritsar,2023,12,77.37,12.09,41.45
Punjab,Jalandhar,2015,1,57.38,23.27,84.8
Punjab,Jalandhar,2015,2,34.49,12.91,58.77
Punjab,Jalandhar,2015,3,10.4,30.74,45.44
Punjab,Jalandhar,2015,4,31.06,37.06,64.04
Punjab,Jalandhar,2015,5,0.95,34.73,72.67
Punjab,Jalandhar,2015,6,158.59,33.58,77.0
Punjab,Jalandhar,2015,7,253.75,25.45,72.25
Punjab,Jalandhar,2015,8,202.31,29.74,59.29
Punjab,Jalandhar,2015,9,124.81,22.19,51.81
Punjab,Jalandhar,2015,10,67.77,31.3,45.03
Punjab,Jalandhar,2015,11,21.83,26.19,55.29
Punjab,Jalandhar,2015,12,73.91,22.34,49.45
Punjab,Jalandhar,2016,1,16.8,20.35,43.33
Punjab,Jalandhar,2016,2,35.97,18.39,51.01
Punjab,Jalandhar,2016,3,10.4,24.43,60.01
Punjab,Jalandhar,2016,4,31.49,37.79,65.57
Punjab,Jalandhar,2016,5,23.78,38.66,46.66
Punjab,Jalandhar,2016,6,157.69,31.09,56.69
Punjab,Jalandhar,2016,7,172.54,24.37,82.52
Punjab,Jalandhar,2016,8,131.66,29.51,61.39
Punjab,Jalandhar,2016,9,187.97,24.42,73.47
Punjab,Jalandhar,2016,10,58.66,22.2,53.15
Punjab,Jalandhar,2016,11,36.9,29.55,41.26
Punjab,Jalandhar,2016,12,24.82,15.94,66.29
Punjab,Jalandhar,2017,1,28.16,21.37,73.55
Punjab,Jalandhar,2017,2,39.84,17.28,67.83
Punjab,Jalandhar,2017,3,6.82,25.16,47.01
Punjab,Jalandhar,2017,4,34.1,32.4,56.85
Punjab,Jalandhar,2017,5,34.62,34.79,47.61
Punjab,Jalandhar,2017,6,205.05,30.46,80.37
Punjab,Jalandhar,2017,7,102.85,34.2,55.41
Punjab,Jalandhar,2017,8,161.86,23.36,52.52
Punjab,Jalandhar,2017,9,255.6,31.84,69.25
Punjab,Jalandhar,2017,10,34.96,26.89,81.07
Punjab,Jalandhar,2017,11,73.44,32.6,78.06
Punjab,Jalandhar,2017,12,64.82,18.81,50.28
Punjab,Jalandhar,2018,1,24.18,20.64,57.93
Punjab,Jalandhar,2018,2,3.95,16.28,43.02
Punjab,Jalandhar,2018,3,22.13,28.02,73.36
Punjab,Jalandhar,2018,4,34.9,41.59,42.52
Punjab,Jalandhar,2018,5,22.67,31.47,51.52
Punjab,Jalandhar,2018,6,247.89,37.66,69.29
Punjab,Jalandhar,2018,7,149.02,30.34,60.52
Punjab,Jalandhar,2018,8,108.05,29.14,64.84
Punjab,Jalandhar,2018,9,118.27,22.85,77.38
Punjab,Jalandhar,2018,10,14.46,33.55,63.52
Punjab,Jalandhar,2018,11,14.26,23.41,66.36
Punjab,Jalandhar,2018,12,50.69,18.04,64.16
Punjab,Jalandhar,2019,1,64.7,16.15,68.53
Punjab,Jalandhar,2019,2,7.86,13.51,43.75
Punjab,Jalandhar,2019,3,7.9,28.14,49.67
Punjab,Jalandhar,2019,4,19.49,35.97,66.18
Punjab,Jalandhar,2019,5,34.45,29.56,79.89
Punjab,Jalandhar,2019,6,255.48,30.73,76.26
Punjab,Jalandhar,2019,7,222.88,26.84,40.02
Punjab,Jalandhar,2019,8,250.91,29.02,62.17
Punjab,Jalandhar,2019,9,135.31,27.61,63.14
Punjab,Jalandhar,2019,10,76.6,24.49,79.03
Punjab,Jalandhar,2019,11,27.43,24.13,65.26
Punjab,Jalandhar,2019,12,31.62,17.72,83.98
Punjab,Jalandhar,2020,1,76.2,18.34,54.36
Punjab,Jalandhar,2020,2,38.97,18.12,47.34
Punjab,Jalandhar,2020,3,2.62,26.48,53.71
Punjab,Jalandhar,2020,4,37.01,34.2,68.7
Punjab,Jalandhar,2020,5,21.54,30.56,75.05
Punjab,Jalandhar,2020,6,252.57,30.99,62.58
Punjab,Jalandhar,2020,7,164.0,27.96,44.63
Punjab,Jalandhar,2020,8,160.01,29.14,65.7
Punjab,Jalandhar,2020,9,130.92,22.35,74.49
Punjab,Jalandhar,2020,10,65.01,32.79,67.46
Punjab,Jalandhar,2020,11,21.0,34.35,84.15
Punjab,Jalandhar,2020,12,55.74,22.25,75.09
Punjab,Jalandhar,2021,1,28.86,24.13,61.24
Punjab,Jalandhar,2021,2,34.25,15.95,46.52
Punjab,Jalandhar,2021,3,13.35,25.31,73.53
Punjab,Jalandhar,2021,4,17.99,33.95,57.71
Punjab,Jalandhar,2021,5,16.68,38.67,58.18
Punjab,Jalandhar,2021,6,293.74,32.95,76.24
Punjab,Jalandhar,2021,7,295.0,31.51,40.88
Punjab,Jalandhar,2021,8,240.87,23.13,72.25
Punjab,Jalandhar,2021,9,158.96,25.6,54.48
Punjab,Jalandhar,2021,10,65.36,24.89,65.2
Punjab,Jalandhar,2021,11,23.96,23.22,62.63
Punjab,Jalandhar,2021,12,69.95,13.39,50.94
Punjab,Jalandhar,2022,1,32.78,18.24,72.46
Punjab,Jalandhar,2022,2,18.79,24.62,42.07
Punjab,Jalandhar,2022,3,26.38,30.32,80.9
Punjab,Jalandhar,2022,4,19.48,31.92,67.3
Punjab,Jalandhar,2022,5,15.0,29.42,68.78
Punjab,Jalandhar,2022,6,155.21,33.17,81.56
Punjab,Jalandhar,2022,7,122.21,22.01,73.74
Punjab,Jalandhar,2022,8,164.91,31.63,58.62
Punjab,Jalandhar,2022,9,130.35,22.26,53.45
Punjab,Jalandhar,2022,10,24.0,21.32,51.04
Punjab,Jalandhar,2022,11,50.09,31.44,51.73
Punjab,Jalandhar,2022,12,47.17,15.79,40.98
Punjab,Jalandhar,2023,1,64.05,12.88,75.37
Punjab,Jalandhar,2023,2,28.46,16.08,78.4
Punjab,Jalandhar,2023,3,36.2,26.69,79.81
Punjab,Jalandhar,2023,4,7.37,34.56,60.74
Punjab,Jalandhar,2023,5,13.32,37.49,71.68
Punjab,Jalandhar,2023,6,151.07,38.47,41.04
Punjab,Jalandhar,2023,7,123.84,26.16,57.83
Punjab,Jalandhar,2023,8,197.27,20.72,63.78
Punjab,Jalandhar,2023,9,282.6,27.68,40.73
Punjab,Jalandhar,2023,10,40.6,20.48,62.69
Punjab,Jalandhar,2023,11,65.88,31.85,62.14
Punjab,Jalandhar,2023,12,50.24,20.25,73.05
Punjab,Patiala,2015,1,49.57,24.66,75.13
Punjab,Patiala,2015,2,21.27,22.38,78.08
Punjab,Patiala,2015,3,3.51,33.84,67.45
Punjab,Patiala,2015,4,39.72,38.53,74.52
Punjab,Patiala,2015,5,17.24,31.88,60.31
Punjab,Patiala,2015,6,276.11,38.35,69.27
Punjab,Patiala,2015,7,114.61,29.72,55.29
Punjab,Patiala,2015,8,205.54,30.39,76.91
Punjab,Patiala,2015,9,186.48,20.32,65.86
Punjab,Patiala,2015,10,10.44,32.42,40.85
Punjab,Patiala,2015,11,25.77,26.41,51.65
Punjab,Patiala,2015,12,25.6,20.77,54.7
Punjab,Patiala,2016,1,42.04,20.65,74.65
Punjab,Patiala,2016,2,22.98,16.61,79.61
Punjab,Patiala,2016,3,34.69,22.29,74.78
Punjab,Patiala,2016,4,8.25,30.54,41.18
Punjab,Patiala,2016,5,24.08,39.83,75.08
Punjab,Patiala,2016,6,208.02,41.37,54.74
Punjab,Patiala,2016,7,163.07,23.45,49.4
Punjab,Patiala,2016,8,160.59,26.36,52.2
Punjab,Patiala,2016,9,287.26,23.26,55.99
Punjab,Patiala,2016,10,19.61,33.48,59.78
Punjab,Patiala,2016,11,68.39,25.63,59.98
Punjab,Patiala,2016,12,62.08,21.62,57.12
Punjab,Patiala,2017,1,41.28,17.19,49.25
Punjab,Patiala,2017,2,15.22,22.59,44.18
Punjab,Patiala,2017,3,7.0,33.7,72.6
Punjab,Patiala,2017,4,4.87,38.59,45.42
Punjab,Patiala,2017,5,19.56,36.47,73.74
Punjab,Patiala,2017,6,163.38,30.67,84.33
Punjab,Patiala,2017,7,259.96,25.4,51.49
Punjab,Patiala,2017,8,122.4,26.85,40.33
Punjab,Patiala,2017,9,260.68,26.0,78.59
Punjab,Patiala,2017,10,34.83,34.19,77.64
Punjab,Patiala,2017,11,40.39,32.72,53.53
Punjab,Patiala,2017,12,79.98,13.1,68.96
Punjab,Patiala,2018,1,37.28,18.13,82.81
Punjab,Patiala,2018,2,10.99,20.42,54.55
Punjab,Patiala,2018,3,5.63,23.73,65.41
Punjab,Patiala,2018,4,5.12,30.18,71.28
Punjab,Patiala,2018,5,30.49,28.86,76.11
Punjab,Patiala,2018,6,273.27,37.25,56.73
Punjab,Patiala,2018,7,182.98,22.36,47.76
Punjab,Patiala,2018,8,287.26,34.48,73.39
Punjab,Patiala,2018,9,262.06,22.72,79.56
Punjab,Patiala,2018,10,17.66,22.44,62.39
Punjab,Patiala,2018,11,31.42,29.38,80.9
Punjab,Patiala,2018,12,28.56,16.17,75.25
Punjab,Patiala,2019,1,33.21,23.55,41.54
Punjab,Patiala,2019,2,34.88,23.88,42.09
Punjab,Patiala,2019,3,15.08,28.98,63.63
Punjab,Patiala,2019,4,6.33,28.21,80.37
Punjab,Patiala,2019,5,3.68,41.83,45.06
Punjab,Patiala,2019,6,195.14,41.77,78.53
Punjab,Patiala,2019,7,207.35,22.02,67.15
Punjab,Patiala,2019,8,227.37,24.67,61.13
Punjab,Patiala,2019,9,280.58,21.92,69.54
Punjab,Patiala,2019,10,35.59,29.2,72.23
Punjab,Patiala,2019,11,43.45,31.23,78.34
Punjab,Patiala,2019,12,23.74,14.85,45.84
Punjab,Patiala,2020,1,75.96,14.93,43.7
Punjab,Patiala,2020,2,3.79,17.25,79.91
Punjab,Patiala,2020,3,4.21,23.39,48.31
Punjab,Patiala,2020,4,26.37,32.6,83.83
Punjab,Patiala,2020,5,26.73,35.28,65.97
Punjab,Patiala,2020,6,276.72,38.64,45.93
Punjab,Patiala,2020,7,184.4,29.92,66.07
Punjab,Patiala,2020,8,286.92,20.51,80.77
Punjab,Patiala,2020,9,177.01,20.72,48.91
Punjab,Patiala,2020,10,22.75,22.14,41.54
Punjab,Patiala,2020,11,65.63,22.43,54.51
Punjab,Patiala,2020,12,50.05,18.29,55.48
Punjab,Patiala,2021,1,54.01,22.62,65.97
Punjab,Patiala,2021,2,18.08,14.79,67.96
Punjab,Patiala,2021,3,21.84,21.77,52.57
Punjab,Patiala,2021,4,30.74,40.93,55.18
Punjab,Patiala,2021,5,35.7,31.57,76.31
Punjab,Patiala,2021,6,197.47,35.68,69.85
Punjab,Patiala,2021,7,233.6,25.14,63.36
Punjab,Patiala,2021,8,112.62,25.48,68.9
Punjab,Patiala,2021,9,292.95,21.89,50.22
Punjab,Patiala,2021,10,42.02,21.67,64.77
Punjab,Patiala,2021,11,30.7,33.1,53.82
Punjab,Patiala,2021,12,40.53,24.8,43.73
Punjab,Patiala,2022,1,70.69,18.56,57.89
Punjab,Patiala,2022,2,37.65,24.98,48.77
Punjab,Patiala,2022,3,33.6,23.33,40.75
Punjab,Patiala,2022,4,29.34,32.96,67.04
Punjab,Patiala,2022,5,6.07,40.04,63.63
Punjab,Patiala,2022,6,260.05,33.08,50.37
Punjab,Patiala,2022,7,289.43,27.96,56.85
Punjab,Patiala,2022,8,120.03,22.48,68.54
Punjab,Patiala,2022,9,223.64,32.65,73.8
Punjab,Patiala,2022,10,20.64,34.13,67.43
Punjab,Patiala,2022,11,70.08,24.18,83.16
Punjab,Patiala,2022,12,76.42,15.85,80.54
Punjab,Patiala,2023,1,78.04,23.62,61.06
Punjab,Patiala,2023,2,5.44,24.2,40.02
Punjab,Patiala,2023,3,10.05,28.34,54.02
Punjab,Patiala,2023,4,36.92,36.58,83.17
Punjab,Patiala,2023,5,2.37,33.75,46.47
Punjab,Patiala,2023,6,264.49,38.7,76.31
Punjab,Patiala,2023,7,290.18,23.64,75.38
Punjab,Patiala,2023,8,229.22,25.86,48.7
Punjab,Patiala,2023,9,266.87,21.06,83.35
Punjab,Patiala,2023,10,29.34,33.39,45.56
Punjab,Patiala,2023,11,61.78,34.17,46.83
Punjab,Patiala,2023,12,41.04,20.74,74.23
Haryana,Karnal,2015,1,10.75,13.52,54.0
Haryana,Karnal,2015,2,4.1,20.17,61.2
Haryana,Karnal,2015,3,26.42,24.48,45.62
Haryana,Karnal,2015,4,29.72,34.36,43.17
Haryana,Karnal,2015,5,39.16,40.75,55.36
Haryana,Karnal,2015,6,154.42,41.83,57.17
Haryana,Karnal,2015,7,278.22,21.69,60.99
Haryana,Karnal,2015,8,217.0,33.14,71.11
Haryana,Karnal,2015,9,258.89,31.38,50.11
Haryana,Karnal,2015,10,17.21,34.96,67.15
Haryana,Karnal,2015,11,51.93,25.44,79.12
Haryana,Karnal,2015,12,56.54,22.88,83.35
Haryana,Karnal,2016,1,39.52,20.29,78.93
Haryana,Karnal,2016,2,11.21,21.41,52.41
Haryana,Karnal,2016,3,10.07,27.62,58.88
Haryana,Karnal,2016,4,33.45,41.76,43.74
Haryana,Karnal,2016,5,4.05,39.28,50.92
Haryana,Karnal,2016,6,199.0,36.28,69.95
Haryana,Karnal,2016,7,120.79,31.71,71.88
Haryana,Karnal,2016,8,212.13,32.56,56.91
Haryana,Karnal,2016,9,203.79,33.88,57.22
Haryana,Karnal,2016,10,52.12,28.86,75.71
Haryana,Karnal,2016,11,76.79,28.63,45.29
Haryana,Karnal,2016,12,63.48,16.69,70.27
Haryana,Karnal,2017,1,73.27,17.48,57.72
Haryana,Karnal,2017,2,29.77,16.51,75.47
Haryana,Karnal,2017,3,34.09,28.6,63.52
Haryana,Karnal,2017,4,37.61,39.38,68.27
Haryana,Karnal,2017,5,31.11,37.37,41.15
Haryana,Karnal,2017,6,213.39,28.34,82.57
Haryana,Karnal,2017,7,119.76,33.81,76.09
Haryana,Karnal,2017,8,245.81,32.74,51.41
Haryana,Karnal,2017,9,263.67,25.16,83.81
Haryana,Karnal,2017,10,27.41,26.69,42.15
Haryana,Karnal,2017,11,42.07,34.86,51.84
Haryana,Karnal,2017,12,65.55,14.72,74.69
Haryana,Karnal,2018,1,48.31,16.18,58.06
Haryana,Karnal,2018,2,13.94,22.6,78.01
Haryana,Karnal,2018,3,34.27,25.01,67.74
Haryana,Karnal,2018,4,29.59,39.71,50.24
Haryana,Karnal,2018,5,33.15,29.42,72.49
Haryana,Karnal,2018,6,227.89,32.38,62.37
Haryana,Karnal,2018,7,137.24,25.74,51.91
Haryana,Karnal,2018,8,241.48,25.26,76.27
Haryana,Karnal,2018,9,279.16,31.32,83.17
Haryana,Karnal,2018,10,32.59,21.67,66.18
Haryana,Karnal,2018,11,73.62,30.5,65.22
Haryana,Karnal,2018,12,62.97,19.0,57.91
Haryana,Karnal,2019,1,58.69,14.58,44.07
Haryana,Karnal,2019,2,23.92,23.4,58.21
Haryana,Karnal,2019,3,10.53,30.74,63.98
Haryana,Karnal,2019,4,15.87,40.9,44.66
Haryana,Karnal,2019,5,38.24,39.4,79.94
Haryana,Karnal,2019,6,158.78,35.98,43.7
Haryana,Karnal,2019,7,299.89,26.64,41.83
Haryana,Karnal,2019,8,209.6,30.01,52.32
Haryana,Karnal,2019,9,198.9,32.5,84.25
Haryana,Karnal,2019,10,27.17,23.39,69.16
Haryana,Karnal,2019,11,25.12,20.19,50.97
Haryana,Karnal,2019,12,11.45,19.96,77.71
Haryana,Karnal,2020,1,39.02,19.17,65.56
Haryana,Karnal,2020,2,16.49,23.02,66.14
Haryana,Karnal,2020,3,25.09,33.33,84.06
Haryana,Karnal,2020,4,29.87,37.89,84.19
