State,District,Year,Season,Crop,Yield_per_Hectare,Area_Hectares,Production_Tonnes
Punjab,Ludhiana,2017,Kharif,Maize,4.6,218.25,5172.59
Punjab,Ludhiana,2017,Kharif,Soybean,2.42,3859.18,8982.04
Punjab,Ludhiana,2017,Rabi,Wheat,2.96,4585.16,8185.68
Punjab,Ludhiana,2017,Rabi,Barley,3.81,3178.88,13308.94
Punjab,Ludhiana,2017,Rabi,Mustard,1.0,2748.38,840.42
Punjab,Ludhiana,2017,Rabi,Gram,1.33,1755.94,6466.96
Punjab,Ludhiana,2017,Rabi,Peas,2.65,3575.54,2951.68
Punjab,Ludhiana,2017,Zaid,Fodder,16.06,3632.08,12006.57
Punjab,Ludhiana,2017,Zaid,Vegetables,7.28,4928.72,11427.74
Punjab,Ludhiana,2017,Zaid,Watermelon,27.35,2585.42,9894.85
Punjab,Ludhiana,2017,Zaid,Cucumber,18.44,308.6,66882.35
Punjab,Ludhiana,2017,Zaid,Sugarcane,95.32,4847.22,288184.78
Punjab,Ludhiana,2018,Kharif,Rice,2.95,675.67,10406.88
Punjab,Ludhiana,2018,Kharif,Cotton,2.43,4129.39,7747.13
Punjab,Ludhiana,2018,Kharif,Sugarcane,144.8,486.42,156161.84
Punjab,Ludhiana,2018,Kharif,Maize,5.73,2010.01,3388.66
Punjab,Ludhiana,2018,Kharif,Soybean,1.71,1758.67,563.82
Punjab,Ludhiana,2018,Rabi,Wheat,3.15,1013.71,2157.6
Punjab,Ludhiana,2018,Rabi,Barley,3.28,1546.82,7644.31
Punjab,Ludhiana,2018,Rabi,Mustard,2.62,819.03,4284.7
Punjab,Ludhiana,2018,Rabi,Gram,1.61,134.35,3931.43
Punjab,Ludhiana,2018,Rabi,Peas,2.4,1551.7,8770.01
Punjab,Ludhiana,2018,Zaid,Fodder,25.08,2705.93,112104.59
Punjab,Ludhiana,2018,Zaid,Vegetables,26.44,4487.46,12999.63
Punjab,Ludhiana,2018,Zaid,Watermelon,22.29,3754.9,92092.41
Punjab,Ludhiana,2018,Zaid,Cucumber,19.19,2925.24,41520.91
Punjab,Ludhiana,2018,Zaid,Sugarcane,127.17,4989.23,95141.6
Punjab,Ludhiana,2019,Kharif,Rice,3.51,3545.3,10249.23
Punjab,Ludhiana,2019,Kharif,Cotton,3.69,4883.49,2858.33
Punjab,Ludhiana,2019,Kharif,Sugarcane,95.02,1575.91,69905.79
Punjab,Ludhiana,2019,Kharif,Maize,5.61,2297.28,6502.88
Punjab,Ludhiana,2019,Kharif,Soybean,1.97,1720.16,8037.1
Punjab,Ludhiana,2019,Rabi,Wheat,3.0,2039.47,6677.88
Punjab,Ludhiana,2019,Rabi,Barley,1.47,3681.58,6527.92
Punjab,Ludhiana,2019,Rabi,Mustard,1.22,1403.31,170.2
Punjab,Ludhiana,2019,Rabi,Gram,1.21,4311.95,3591.16
Punjab,Ludhiana,2019,Rabi,Peas,3.7,387.64,13805.23
Punjab,Ludhiana,2019,Zaid,Fodder,21.83,762.75,67263.55
Punjab,Ludhiana,2019,Zaid,Vegetables,15.32,3860.22,36067.1
Punjab,Ludhiana,2019,Zaid,Watermelon,18.31,3027.53,22585.02
Punjab,Ludhiana,2019,Zaid,Cucumber,12.36,1014.7,25005.67
Punjab,Ludhiana,2019,Zaid,Sugarcane,71.16,2208.88,53505.07
Punjab,Ludhiana,2020,Kharif,Rice,5.79,4092.17,14566.79
Punjab,Ludhiana,2020,Kharif,Cotton,2.24,4075.47,10998.01
Punjab,Ludhiana,2020,Kharif,Sugarcane,74.65,1663.21,280769.56
Punjab,Ludhiana,2020,Kharif,Maize,6.79,1498.04,11635.98
Punjab,Ludhiana,2020,Kharif,Soybean,1.84,179.82,5256.53
Punjab,Ludhiana,2020,Rabi,Wheat,5.54,1804.52,10069.4
Punjab,Ludhiana,2020,Rabi,Barley,3.11,4241.81,11941.57
Punjab,Ludhiana,2020,Rabi,Mustard,1.51,4348.08,4560.79
Punjab,Ludhiana,2020,Rabi,Gram,1.39,2517.28,3510.48
Punjab,Ludhiana,2020,Rabi,Peas,2.1,159.15,10189.56
Punjab,Ludhiana,2020,Zaid,Fodder,27.49,4217.75,44450.3
Punjab,Ludhiana,2020,Zaid,Vegetables,14.71,1552.03,63745.67
Punjab,Ludhiana,2020,Zaid,Watermelon,14.08,4615.38,2514.61
Punjab,Ludhiana,2020,Zaid,Cucumber,14.58,408.15,37473.24
Punjab,Ludhiana,2020,Zaid,Sugarcane,56.99,1075.33,6918.55
Punjab,Ludhiana,2021,Kharif,Rice,4.72,3210.56,2559.49
Punjab,Ludhiana,2021,Kharif,Cotton,2.26,2173.91,4073.7
Punjab,Ludhiana,2021,Kharif,Sugarcane,63.69,731.85,86152.09
Punjab,Ludhiana,2021,Kharif,Maize,2.86,1699.35,6483.67
Punjab,Ludhiana,2021,Kharif,Soybean,2.04,4846.28,7513.02
Punjab,Ludhiana,2021,Rabi,Wheat,3.07,4077.09,10735.33
Punjab,Ludhiana,2021,Rabi,Barley,4.38,366.63,15954.56
Punjab,Ludhiana,2021,Rabi,Mustard,1.49,491.76,4852.69
Punjab,Ludhiana,2021,Rabi,Gram,1.6,2049.51,7741.29
Punjab,Ludhiana,2021,Rabi,Peas,4.42,2082.62,5090.49
Punjab,Ludhiana,2021,Zaid,Fodder,26.59,2813.27,28045.27
Punjab,Ludhiana,2021,Zaid,Vegetables,14.35,1392.83,48571.74
Punjab,Ludhiana,2021,Zaid,Watermelon,20.85,133.89,72242.48
Punjab,Ludhiana,2021,Zaid,Cucumber,8.59,1290.15,32274.98
Punjab,Ludhiana,2021,Zaid,Sugarcane,87.32,3682.08,240648.74
Punjab,Ludhiana,2022,Kharif,Rice,2.45,3247.71,7002.27
Punjab,Ludhiana,2022,Kharif,Cotton,2.33,2219.18,2994.25
Punjab,Ludhiana,2022,Kharif,Sugarcane,84.97,3482.0,259856.68
Punjab,Ludhiana,2022,Kharif,Maize,6.32,752.98,18149.56
Punjab,Ludhiana,2022,Kharif,Soybean,2.78,295.6,12097.02
Punjab,Ludhiana,2022,Rabi,Wheat,5.3,3839.12,21708.74
Punjab,Ludhiana,2022,Rabi,Barley,5.37,2354.93,16770.26
Punjab,Ludhiana,2022,Rabi,Mustard,1.54,910.16,3715.04
Punjab,Ludhiana,2022,Rabi,Gram,1.43,881.32,5178.02
Punjab,Ludhiana,2022,Rabi,Peas,3.81,329.0,4834.0
Punjab,Ludhiana,2022,Zaid,Fodder,19.49,1331.67,96640.15
Punjab,Ludhiana,2022,Zaid,Vegetables,9.75,1216.97,39109.57
Punjab,Ludhiana,2022,Zaid,Watermelon,18.65,1140.85,29003.14
Punjab,Ludhiana,2022,Zaid,Cucumber,19.04,2673.83,84901.11
Punjab,Ludhiana,2022,Zaid,Sugarcane,66.82,1723.86,111806.94
Punjab,Ludhiana,2023,Kharif,Rice,3.42,3481.21,2467.34
Punjab,Ludhiana,2023,Kharif,Cotton,3.41,2268.57,7642.09
Punjab,Ludhiana,2023,Kharif,Sugarcane,108.83,1088.52,522475.75
Punjab,Ludhiana,2023,Kharif,Maize,2.54,4178.46,10082.12
Punjab,Ludhiana,2023,Kharif,Soybean,2.87,858.15,11160.46
Punjab,Ludhiana,2023,Rabi,Wheat,4.59,3917.5,21015.45
Punjab,Ludhiana,2023,Rabi,Barley,3.17,1169.89,14900.32
Punjab,Ludhiana,2023,Rabi,Mustard,1.84,3529.23,488.75
Punjab,Ludhiana,2023,Rabi,Gram,1.71,3677.55,407.21
Punjab,Ludhiana,2023,Rabi,Peas,2.35,2836.71,837.64
Punjab,Ludhiana,2023,Zaid,Fodder,16.27,3110.38,15133.81
Punjab,Ludhiana,2023,Zaid,Vegetables,14.61,3187.86,7534.47
Punjab,Ludhiana,2023,Zaid,Watermelon,29.09,3976.32,45320.77
Punjab,Ludhiana,2023,Zaid,Cucumber,13.18,1424.22,44950.99
Punjab,Ludhiana,2023,Zaid,Sugarcane,110.31,3817.19,284723.96
Punjab,Amritsar,2015,Kharif,Rice,4.01,1919.13,18598.63
Punjab,Amritsar,2015,Kharif,Cotton,3.66,883.52,15477.31
Punjab,Amritsar,2015,Kharif,Sugarcane,70.44,4043.77,235665.04
Punjab,Amritsar,2015,Kharif,Maize,5.78,4066.91,12007.2
Punjab,Amritsar,2015,Kharif,Soybean,2.91,2116.95,1304.19
Punjab,Amritsar,2015,Rabi,Wheat,4.09,3015.56,13339.91
Punjab,Amritsar,2015,Rabi,Barley,2.56,1166.19,7609.98
Punjab,Amritsar,2015,Rabi,Mustard,2.39,3767.95,10048.04
Punjab,Amritsar,2015,Rabi,Gram,2.16,3030.97,1034.58
Punjab,Amritsar,2015,Rabi,Peas,3.23,2193.52,9657.95
Punjab,Amritsar,2015,Zaid,Fodder,24.36,1636.56,105908.34
Punjab,Amritsar,2015,Zaid,Vegetables,21.42,1116.93,88599.95
Punjab,Amritsar,2015,Zaid,Watermelon,24.96,1160.74,18616.4
Punjab,Amritsar,2015,Zaid,Cucumber,13.36,4476.62,7974.14
Punjab,Amritsar,2015,Zaid,Sugarcane,74.71,2970.05,349612.19
Punjab,Amritsar,2016,Kharif,Rice,5.05,3336.61,23048.41
Punjab,Amritsar,2016,Kharif,Cotton,2.26,4670.65,2752.87
Punjab,Amritsar,2016,Kharif,Sugarcane,68.29,994.02,157545.57
Punjab,Amritsar,2016,Kharif,Maize,8.67,4390.82,6706.45
Punjab,Amritsar,2016,Kharif,Soybean,1.73,2702.17,7953.61
Punjab,Amritsar,2016,Rabi,Wheat,5.27,4150.88,24540.03
Punjab,Amritsar,2016,Rabi,Barley,2.26,2359.37,5798.39
Punjab,Amritsar,2016,Rabi,Mustard,2.1,3894.32,5625.0
Punjab,Amritsar,2016,Rabi,Gram,1.61,2306.23,5236.38
Punjab,Amritsar,2016,Rabi,Peas,2.2,3320.6,10696.96
Punjab,Amritsar,2016,Zaid,Fodder,19.4,342.43,68260.07
Punjab,Amritsar,2016,Zaid,Vegetables,20.32,3644.35,59348.46
Punjab,Amritsar,2016,Zaid,Watermelon,16.49,3763.21,48101.88
Punjab,Amritsar,2016,Zaid,Cucumber,20.09,1427.99,4419.93
Punjab,Amritsar,2016,Zaid,Sugarcane,101.69,3464.82,320871.96
Punjab,Amritsar,2017,Kharif,Rice,5.62,1044.71,19236.0
Punjab,Amritsar,2017,Kharif,Cotton,1.67,3142.39,7685.89
Punjab,Amritsar,2017,Kharif,Sugarcane,64.89,684.72,273371.96
Punjab,Amritsar,2017,Kharif,Maize,4.05,2144.19,8026.39
Punjab,Amritsar,2017,Kharif,Soybean,1.14,1680.99,5157.57
Punjab,Amritsar,2017,Rabi,Wheat,5.88,2091.12,8585.08
Punjab,Amritsar,2017,Rabi,Barley,4.08,4740.41,6854.76
Punjab,Amritsar,2017,Rabi,Mustard,1.95,2518.31,1147.41
Punjab,Amritsar,2017,Rabi,Gram,1.84,2211.67,235.04
Punjab,Amritsar,2017,Rabi,Peas,1.64,1754.13,6500.99
Punjab,Amritsar,2017,Zaid,Fodder,23.73,750.68,81828.49
Punjab,Amritsar,2017,Zaid,Vegetables,13.36,1829.21,22611.0
Punjab,Amritsar,2017,Zaid,Watermelon,18.24,4321.72,25065.99
Punjab,Amritsar,2017,Zaid,Cucumber,20.26,2414.32,31425.14
Punjab,Amritsar,2017,Zaid,Sugarcane,82.95,1088.41,223433.03
Punjab,Amritsar,2018,Kharif,Rice,7.99,183.24,31147.05
Punjab,Amritsar,2018,Kharif,Cotton,4.54,4349.59,16697.73
Punjab,Amritsar,2018,Kharif,Sugarcane,111.13,2100.23,35932.88
Punjab,Amritsar,2018,Kharif,Maize,7.25,1412.13,33264.45
Punjab,Amritsar,2018,Kharif,Soybean,2.25,949.46,9025.2
Punjab,Amritsar,2018,Rabi,Wheat,2.87,3096.17,7796.49
Punjab,Amritsar,2018,Rabi,Barley,2.21,4375.99,8312.38
Punjab,Amritsar,2018,Rabi,Mustard,1.45,159.37,5623.98
Punjab,Amritsar,2018,Rabi,Gram,2.02,2430.59,5005.35
Punjab,Amritsar,2018,Rabi,Peas,4.11,2921.7,10208.99
Punjab,Amritsar,2018,Zaid,Fodder,28.7,849.0,40654.76
Punjab,Amritsar,2018,Zaid,Vegetables,10.8,1424.48,1777.13
Punjab,Amritsar,2018,Zaid,Watermelon,12.85,1102.76,48741.23
Punjab,Amritsar,2018,Zaid,Cucumber,16.2,1565.86,42058.4
Punjab,Amritsar,2018,Zaid,Sugarcane,124.24,2541.5,401514.99
Punjab,Amritsar,2019,Kharif,Rice,2.88,192.31,5049.24
Punjab,Amritsar,2019,Kharif,Cotton,4.38,321.27,14563.53
Punjab,Amritsar,2019,Kharif,Sugarcane,68.84,3123.26,98054.89
Punjab,Amritsar,2019,Kharif,Maize,7.41,317.05,9212.94
Punjab,Amritsar,2019,Kharif,Soybean,1.75,3042.28,6731.81
Punjab,Amritsar,2019,Rabi,Wheat,3.41,4223.51,634.71
Punjab,Amritsar,2019,Rabi,Barley,2.2,300.26,1258.15
Punjab,Amritsar,2019,Rabi,Mustard,2.33,2408.71,6301.76
Punjab,Amritsar,2019,Rabi,Gram,1.54,4782.77,1011.44
Punjab,Amritsar,2019,Rabi,Peas,2.23,2184.27,3141.07
Punjab,Amritsar,2019,Zaid,Fodder,33.63,878.94,3971.96
Punjab,Amritsar,2019,Zaid,Vegetables,19.14,4211.59,31926.52
Punjab,Amritsar,2019,Zaid,Watermelon,28.83,3512.02,116723.43
Punjab,Amritsar,2019,Zaid,Cucumber,13.88,879.95,45375.42
Punjab,Amritsar,2019,Zaid,Sugarcane,93.87,2203.88,348311.61
Punjab,Amritsar,2020,Kharif,Rice,4.06,3610.51,15450.85
Punjab,Amritsar,2020,Kharif,Cotton,2.09,2454.77,9724.2
Punjab,Amritsar,2020,Kharif,Sugarcane,87.8,2272.92,309846.48
Punjab,Amritsar,2020,Kharif,Maize,3.98,2992.74,13216.26
Punjab,Amritsar,2020,Kharif,Soybean,2.97,1920.5,14576.73
Punjab,Amritsar,2020,Rabi,Wheat,5.69,3845.35,13630.83
Punjab,Amritsar,2020,Rabi,Barley,2.85,818.74,5615.37
Punjab,Amritsar,2020,Rabi,Mustard,1.39,1630.81,4395.51
Punjab,Amritsar,2020,Rabi,Gram,1.16,2160.0,988.33
Punjab,Amritsar,2020,Rabi,Peas,2.05,1178.31,4966.25
Punjab,Amritsar,2020,Zaid,Fodder,24.04,2938.43,117943.04
Punjab,Amritsar,2020,Zaid,Vegetables,19.27,3428.62,56046.57
Punjab,Amritsar,2020,Zaid,Watermelon,15.02,3838.26,33027.96
Punjab,Amritsar,2020,Zaid,Cucumber,24.34,3600.89,77285.76
Punjab,Amritsar,2020,Zaid,Sugarcane,95.8,2805.73,389774.3
Punjab,Amritsar,2021,Kharif,Rice,6.75,3546.01,3010.28
Punjab,Amritsar,2021,Kharif,Cotton,3.52,1638.4,3848.01
Punjab,Amritsar,2021,Kharif,Sugarcane,118.32,4404.79,327610.99
Punjab,Amritsar,2021,Kharif,Maize,4.43,2316.92,5005.73
Punjab,Amritsar,2021,Kharif,Soybean,2.17,417.53,5476.23
Punjab,Amritsar,2021,Rabi,Wheat,3.14,1911.01,15524.49
Punjab,Amritsar,2021,Rabi,Barley,4.2,921.48,17448.65
Punjab,Amritsar,2021,Rabi,Mustard,1.13,2607.46,2385.86
Punjab,Amritsar,2021,Rabi,Gram,1.87,4801.48,6458.72
Punjab,Amritsar,2021,Rabi,Peas,1.91,3009.02,6568.98
Punjab,Amritsar,2021,Zaid,Fodder,23.47,3953.12,71657.54
Punjab,Amritsar,2021,Zaid,Vegetables,16.87,532.26,74326.66
Punjab,Amritsar,2021,Zaid,Watermelon,17.32,2878.65,68691.37
Punjab,Amritsar,2021,Zaid,Cucumber,15.17,3312.75,58197.88
Punjab,Amritsar,2021,Zaid,Sugarcane,70.73,4061.27,231948.29
Punjab,Amritsar,2022,Kharif,Rice,5.56,2001.32,21287.98
Punjab,Amritsar,2022,Kharif,Cotton,2.97,680.27,6920.87
Punjab,Amritsar,2022,Kharif,Sugarcane,67.14,819.0,189261.66
Punjab,Amritsar,2022,Kharif,Maize,5.25,1231.74,7602.96
Punjab,Amritsar,2022,Kharif,Soybean,3.1,4262.73,10358.16
Punjab,Amritsar,2022,Rabi,Wheat,4.73,326.48,17023.16
Punjab,Amritsar,2022,Rabi,Barley,2.1,2355.18,6526.79
Punjab,Amritsar,2022,Rabi,Mustard,2.68,4338.65,13368.13
Punjab,Amritsar,2022,Rabi,Gram,0.97,2285.85,3917.66
Punjab,Amritsar,2022,Rabi,Peas,2.88,3853.12,12137.1
Punjab,Amritsar,2022,Zaid,Fodder,34.58,590.74,59255.07
Punjab,Amritsar,2022,Zaid,Vegetables,20.79,3861.4,46890.67
Punjab,Amritsar,2022,Zaid,Watermelon,25.87,3254.17,69117.07
Punjab,Amritsar,2022,Zaid,Cucumber,19.25,3721.84,50646.42
Punjab,Amritsar,2022,Zaid,Sugarcane,89.11,319.09,169446.07
Punjab,Amritsar,2023,Kharif,Rice,3.74,4862.11,6088.16
Punjab,Amritsar,2023,Kharif,Cotton,2.52,351.89,11587.18
Punjab,Amritsar,2023,Kharif,Sugarcane,52.35,1211.43,171497.16
Punjab,Amritsar,2023,Kharif,Maize,3.37,2062.92,16671.55
Punjab,Amritsar,2023,Kharif,Soybean,1.57,2028.37,7363.49
Punjab,Amritsar,2023,Rabi,Wheat,3.44,283.62,11103.68
Punjab,Amritsar,2023,Rabi,Barley,4.07,2287.4,1472.99
Punjab,Amritsar,2023,Rabi,Mustard,1.95,4870.26,7881.0
Punjab,Amritsar,2023,Rabi,Gram,1.53,2610.65,2134.32
Punjab,Amritsar,2023,Rabi,Peas,3.91,1537.88,17934.79
Punjab,Amritsar,2023,Zaid,Fodder,41.46,2173.97,178097.51
Punjab,Amritsar,2023,Zaid,Vegetables,28.78,425.33,33613.22
Punjab,Amritsar,2023,Zaid,Watermelon,12.86,1171.29,32707.57
Punjab,Amritsar,2023,Zaid,Cucumber,21.91,1839.83,103640.31
Punjab,Amritsar,2023,Zaid,Sugarcane,92.11,884.82,419954.56
Punjab,Jalandhar,2015,Kharif,Rice,5.68,1244.25,14741.9
Punjab,Jalandhar,2015,Kharif,Cotton,4.78,1121.05,1363.11
Punjab,Jalandhar,2015,Kharif,Sugarcane,70.73,2840.13,326517.68
Punjab,Jalandhar,2015,Kharif,Maize,6.85,4980.06,8295.31
Punjab,Jalandhar,2015,Kharif,Soybean,1.21,4287.23,4482.69
Punjab,Jalandhar,2015,Rabi,Wheat,2.76,3720.44,7534.44
Punjab,Jalandhar,2015,Rabi,Barley,4.07,217.43,9721.36
Punjab,Jalandhar,2015,Rabi,Mustard,1.15,1983.07,2761.69
Punjab,Jalandhar,2015,Rabi,Gram,0.93,699.43,3486.8
Punjab,Jalandhar,2015,Rabi,Peas,2.89,3286.48,13348.44
Punjab,Jalandhar,2015,Zaid,Fodder,28.31,4624.41,87430.37
Punjab,Jalandhar,2015,Zaid,Vegetables,14.69,1749.68,69727.66
Punjab,Jalandhar,2015,Zaid,Watermelon,21.01,3355.58,43740.2
Punjab,Jalandhar,2015,Zaid,Cucumber,18.07,4719.68,80734.02
Punjab,Jalandhar,2015,Zaid,Sugarcane,77.32,1569.27,111330.02
Punjab,Jalandhar,2016,Kharif,Rice,4.95,387.01,14811.94
Punjab,Jalandhar,2016,Kharif,Cotton,3.09,2485.58,7123.5
Punjab,Jalandhar,2016,Kharif,Sugarcane,79.88,2998.31,289382.8
Punjab,Jalandhar,2016,Kharif,Maize,3.42,3355.75,17049.85
Punjab,Jalandhar,2016,Kharif,Soybean,3.99,240.49,3363.12
Punjab,Jalandhar,2016,Rabi,Wheat,6.56,4849.3,24733.08
Punjab,Jalandhar,2016,Rabi,Barley,3.74,1983.91,15380.38
Punjab,Jalandhar,2016,Rabi,Mustard,1.45,2136.52,3360.06
Punjab,Jalandhar,2016,Rabi,Gram,1.12,4950.74,2374.83
Punjab,Jalandhar,2016,Rabi,Peas,2.59,4987.17,9722.56
Punjab,Jalandhar,2016,Zaid,Fodder,28.87,4075.41,133261.55
Punjab,Jalandhar,2016,Zaid,Vegetables,12.44,727.23,42694.28
Punjab,Jalandhar,2016,Zaid,Watermelon,25.51,2983.08,7502.63
Punjab,Jalandhar,2016,Zaid,Cucumber,17.16,2244.82,37319.04
Punjab,Jalandhar,2016,Zaid,Sugarcane,69.77,1854.61,260088.14
Punjab,Jalandhar,2017,Kharif,Rice,3.5,3109.91,5970.84
Punjab,Jalandhar,2017,Kharif,Cotton,2.88,2077.67,4157.85
Punjab,Jalandhar,2017,Kharif,Sugarcane,49.2,1302.03,211851.4
Punjab,Jalandhar,2017,Kharif,Maize,2.92,2037.72,5457.03
Punjab,Jalandhar,2017,Kharif,Soybean,2.53,4064.12,10342.2
Punjab,Jalandhar,2017,Rabi,Wheat,2.95,2499.12,2150.7
Punjab,Jalandhar,2017,Rabi,Barley,2.65,3933.24,4894.45
Punjab,Jalandhar,2017,Rabi,Mustard,2.19,3100.47,3810.88
Punjab,Jalandhar,2017,Rabi,Gram,1.28,995.27,4440.49
Punjab,Jalandhar,2017,Rabi,Peas,2.9,4078.27,4539.89
Punjab,Jalandhar,2017,Zaid,Fodder,13.19,4305.74,52573.21
Punjab,Jalandhar,2017,Zaid,Vegetables,19.53,4866.73,73047.85
Punjab,Jalandhar,2017,Zaid,Watermelon,13.3,3637.83,14906.36
Punjab,Jalandhar,2017,Zaid,Cucumber,27.21,3919.49,126112.34
Punjab,Jalandhar,2017,Zaid,Sugarcane,77.58,2457.44,76398.57
Punjab,Jalandhar,2018,Kharif,Rice,5.14,103.89,12327.83
Punjab,Jalandhar,2018,Kharif,Cotton,2.0,1338.19,3736.72
Punjab,Jalandhar,2018,Kharif,Sugarcane,94.53,510.09,327505.6
Punjab,Jalandhar,2018,Kharif,Maize,5.34,829.2,2964.34
Punjab,Jalandhar,2018,Kharif,Soybean,2.1,2344.14,5540.5
Punjab,Jalandhar,2018,Rabi,Wheat,4.28,411.29,18760.83
Punjab,Jalandhar,2018,Rabi,Barley,1.43,1678.93,1853.1
Punjab,Jalandhar,2018,Rabi,Mustard,1.68,564.32,1763.21
Punjab,Jalandhar,2018,Rabi,Gram,2.1,2560.04,826.02
Punjab,Jalandhar,2018,Rabi,Peas,3.23,4828.64,1681.2
Punjab,Jalandhar,2018,Zaid,Fodder,14.35,551.29,6001.37
Punjab,Jalandhar,2018,Zaid,Vegetables,11.76,2121.51,37546.31
Punjab,Jalandhar,2018,Zaid,Watermelon,20.57,4012.32,9879.2
Punjab,Jalandhar,2018,Zaid,Cucumber,11.25,3389.8,35908.32
Punjab,Jalandhar,2018,Zaid,Sugarcane,69.76,1720.28,162205.66
Punjab,Jalandhar,2019,Kharif,Rice,2.94,3293.32,327.47
Punjab,Jalandhar,2019,Kharif,Cotton,4.62,3317.07,5995.98
Punjab,Jalandhar,2019,Kharif,Sugarcane,80.66,4716.12,78891.62
Punjab,Jalandhar,2019,Kharif,Maize,4.75,262.88,4773.54
Punjab,Jalandhar,2019,Kharif,Soybean,1.69,2215.51,2944.27
Punjab,Jalandhar,2019,Rabi,Wheat,6.33,4558.77,1217.62
Punjab,Jalandhar,2019,Rabi,Barley,3.38,924.18,12591.2
Punjab,Jalandhar,2019,Rabi,Mustard,1.34,233.81,2821.88
Punjab,Jalandhar,2019,Rabi,Gram,0.76,1354.86,2814.61
Punjab,Jalandhar,2019,Rabi,Peas,1.99,4917.21,4125.17
Punjab,Jalandhar,2019,Zaid,Fodder,27.06,3726.92,21352.91
Punjab,Jalandhar,2019,Zaid,Vegetables,8.06,283.06,39950.76
Punjab,Jalandhar,2019,Zaid,Watermelon,20.81,739.41,69877.72
Punjab,Jalandhar,2019,Zaid,Cucumber,9.79,3309.57,5566.13
Punjab,Jalandhar,2019,Zaid,Sugarcane,106.62,327.15,50118.65
Punjab,Jalandhar,2020,Kharif,Rice,4.72,1603.06,5647.35
Punjab,Jalandhar,2020,Kharif,Cotton,1.71,954.12,1691.02
Punjab,Jalandhar,2020,Kharif,Sugarcane,106.2,4003.37,93010.0
Punjab,Jalandhar,2020,Kharif,Maize,5.68,4178.78,12030.46
Punjab,Jalandhar,2020,Kharif,Soybean,1.44,1590.97,3666.96
Punjab,Jalandhar,2020,Rabi,Wheat,4.51,3086.12,9915.26
Punjab,Jalandhar,2020,Rabi,Barley,1.73,2608.79,3806.68
Punjab,Jalandhar,2020,Rabi,Mustard,1.61,3675.44,4756.49
Punjab,Jalandhar,2020,Rabi,Gram,1.25,2323.7,4230.06
Punjab,Jalandhar,2020,Rabi,Peas,3.58,1288.26,11983.82
Punjab,Jalandhar,2020,Zaid,Fodder,27.95,969.0,67434.6
Punjab,Jalandhar,2020,Zaid,Vegetables,11.26,3894.55,19591.8
Punjab,Jalandhar,2020,Zaid,Watermelon,14.14,4803.1,27104.96
Punjab,Jalandhar,2020,Zaid,Cucumber,16.9,1410.8,64972.71
Punjab,Jalandhar,2020,Zaid,Sugarcane,66.28,3958.92,289920.17
Punjab,Jalandhar,2021,Kharif,Rice,4.87,2141.12,7648.77
